time,Label,Storm_id,lat,lon,speed_ms,speed_kt,heading_deg
2020-09-15 15:00:00,hurricane,Hurricane_Teddy,12.5,-33.0,0.0,0.0,0.0
2020-09-15 18:00:00,hurricane,Hurricane_Teddy,12.5,-33.0,0.0,0.0,0.0
2020-09-15 21:00:00,hurricane,Hurricane_Teddy,12.5,-33.0,0.0,0.0,0.0
2020-09-28 00:00:00,hurricane,Hurricane_Marie,,,,,
2020-09-28 03:00:00,hurricane,Hurricane_Marie,,,,,
2020-09-28 06:00:00,hurricane,Hurricane_Marie,,,,,
2020-09-28 09:00:00,hurricane,Hurricane_Marie,,,,,
2020-09-28 12:00:00,hurricane,Hurricane_Marie,,,,,
2020-09-28 15:00:00,hurricane,Hurricane_Marie,,,,,
2020-09-28 18:00:00,hurricane,Hurricane_Marie,,,,,
2020-09-28 21:00:00,hurricane,Hurricane_Marie,,,,,
2020-09-29 00:00:00,hurricane,Hurricane_Marie,,,,,
2020-09-29 03:00:00,hurricane,Hurricane_Marie,,,,,
2020-09-29 06:00:00,hurricane,Hurricane_Marie,13.2,-107.6,,,
2020-09-29 09:00:00,hurricane,Hurricane_Marie,13.2,-107.6,0.0,0.0,0.0
2020-09-29 12:00:00,hurricane,Hurricane_Marie,13.2,-107.6,0.0,0.0,0.0
2020-09-29 15:00:00,hurricane,Hurricane_Marie,13.2,-107.6,0.0,0.0,0.0
2020-09-29 18:00:00,hurricane,Hurricane_Marie,13.2,-107.6,0.0,0.0,0.0
2020-09-29 21:00:00,hurricane,Hurricane_Marie,13.2,-107.6,0.0,0.0,0.0
2020-09-30 00:00:00,hurricane,Hurricane_Marie,13.2,-107.6,0.0,0.0,0.0
2020-09-30 03:00:00,hurricane,Hurricane_Marie,13.2,-107.6,0.0,0.0,0.0
2020-09-30 06:00:00,hurricane,Hurricane_Marie,13.2,-107.6,0.0,0.0,0.0
2020-09-30 09:00:00,hurricane,Hurricane_Marie,13.2,-107.6,0.0,0.0,0.0
2020-09-30 12:00:00,hurricane,Hurricane_Marie,13.2,-107.6,0.0,0.0,0.0
2020-09-30 15:00:00,hurricane,Hurricane_Marie,13.2,-107.6,0.0,0.0,0.0
2020-09-30 18:00:00,hurricane,Hurricane_Marie,13.2,-107.6,0.0,0.0,0.0
